state,date,res_dex,num_devices
LA,2020-03-22,28.884701,317552
LA,2020-03-23,39.5299,325335
LA,2020-03-24,33.738098,322139
LA,2020-03-25,38.400902,321630
LA,2020-03-26,41.741299,321136
LA,2020-03-27,46.718899,323858
LA,2020-03-28,36.949001,321855
LA,2020-03-29,28.353399,317131
LA,2020-03-30,35.652699,330612
LA,2020-03-31,37.241001,330886
LA,2020-04-01,39.160702,319649
LA,2020-04-02,36.805901,316444
LA,2020-04-03,40.776402,321161
LA,2020-04-04,30.7216,311367
LA,2020-04-05,25.580299,306773
LA,2020-04-06,33.435902,311815
LA,2020-04-07,33.555901,318420
LA,2020-04-08,36.786999,312301
LA,2020-04-09,38.560501,321998
LA,2020-04-10,43.126999,317874
LA,2020-04-11,39.334301,316898
LA,2020-04-12,15.3785,306654
LA,2020-04-13,34.868,308906
LA,2020-04-14,34.465599,276694
LA,2020-04-15,35.247002,265580
LA,2020-04-16,33.959099,265380
LA,2020-04-17,38.5271,269038
LA,2020-04-18,37.588699,280716
LA,2020-04-19,22.083,302989
LA,2020-04-20,32.904598,302630
LA,2020-04-21,38.154099,302917
LA,2020-04-22,34.517101,305937
LA,2020-04-23,36.195499,302131
LA,2020-04-24,46.697399,303081
LA,2020-04-25,49.926399,310564
LA,2020-04-26,36.2318,302078
LA,2020-04-27,40.036201,294356
LA,2020-04-28,35.304501,305736
LA,2020-04-29,34.535099,301990
LA,2020-04-30,34.8974,294648
LA,2020-05-01,41.988602,292687
LA,2020-05-02,45.566799,298383
LA,2020-05-03,31.08,298059
LA,2020-05-04,46.837601,298028
LA,2020-05-05,53.404598,302317
LA,2020-05-06,48.181198,303093
LA,2020-05-07,54.095299,302064
LA,2020-05-08,54.739101,307047
LA,2020-05-09,79.649399,307860
LA,2020-05-10,48.667198,305560
LA,2020-05-11,45.0364,297802
LA,2020-05-12,47.763901,300550
LA,2020-05-13,52.550301,305105
LA,2020-05-14,48.629101,308511
LA,2020-05-15,61.810299,309595
LA,2020-05-16,67.122498,313147
LA,2020-05-17,45.483501,304406
LA,2020-05-18,70.590302,312834
LA,2020-05-19,64.079803,304278
LA,2020-05-20,56.912601,307056
LA,2020-05-21,68.194397,303458
LA,2020-05-22,73.572098,303529
LA,2020-05-23,73.375,310562
LA,2020-05-24,54.219002,304565
LA,2020-05-25,39.121201,299495
LA,2020-05-26,69.302002,323104
LA,2020-05-27,62.469799,306891
LA,2020-05-28,58.2673,303552
LA,2020-05-29,70.987503,317237
LA,2020-05-30,50.8694,295873
LA,2020-05-31,49.3573,304076
LA,2020-06-01,53.178001,303967
LA,2020-06-02,54.2285,304080
LA,2020-06-03,67.817299,307942
ME,2020-01-20,30.5427,69621
ME,2020-01-21,39.060799,71281
ME,2020-01-22,39.413502,71302
ME,2020-01-23,39.916302,71364
ME,2020-01-24,41.682899,71492
ME,2020-01-25,26.500401,70250
ME,2020-01-26,19.787901,69151
ME,2020-01-27,43.8097,111553
ME,2020-01-28,51.296299,113953
ME,2020-01-29,49.051498,112930
ME,2020-01-30,51.177601,110841
ME,2020-01-31,59.2089,112280
ME,2020-02-01,50.2939,108779
ME,2020-02-02,32.7136,104763
ME,2020-02-03,38.449402,72627
ME,2020-02-04,40.202099,73780
ME,2020-02-05,42.158901,74889
ME,2020-02-06,27.981899,73189
ME,2020-02-07,23.442499,72348
ME,2020-02-08,36.269501,72353
ME,2020-02-09,27.5825,72333
ME,2020-02-10,40.7873,74939
ME,2020-02-11,44.524399,74080
ME,2020-02-12,47.1628,75324
ME,2020-02-13,32.3559,70875
ME,2020-02-14,49.7771,73358
ME,2020-02-15,36.348701,73218
ME,2020-02-16,33.9743,72714
ME,2020-02-17,42.253799,73796
ME,2020-02-18,42.681999,73983
ME,2020-02-19,39.130402,72646
ME,2020-02-20,34.141899,71798
ME,2020-02-21,38.276001,72311
ME,2020-02-22,39.816601,72065
ME,2020-02-23,26.960501,70337
ME,2020-02-24,63.008099,76666
ME,2020-02-25,49.5886,75499
ME,2020-02-26,44.528099,74767
ME,2020-02-27,36.627899,75455
