state,date,aggLEX
CA,2020-10-03,0.07136113930610498
CA,2020-10-07,0.07027030533831148
CA,2020-10-10,0.0752469460967329
CA,2020-10-14,0.07308830231502121
CA,2020-10-17,0.07847599094479582
CA,2020-10-21,0.07620568945398946
CA,2020-10-24,0.08043819659383719
CA,2020-10-28,0.07517136904944918
CA,2020-10-31,0.07456069035428736
CA,2020-11-04,0.06666330178759201
CA,2020-11-07,0.06758510370464516
CA,2020-11-11,0.06312395482741753
CA,2020-11-14,0.0665312673304417
CA,2020-11-18,0.063812214630747
CA,2020-11-21,0.06973018616286686
CA,2020-11-25,0.07292749028706065
CA,2020-11-28,0.0846326008471874
CA,2020-12-02,0.07965737563126028
CA,2020-12-05,0.0801197662528864
CA,2020-12-09,0.07252703488080417
CA,2020-12-12,0.07191538549654093
CA,2020-12-16,0.05814713743755633
CA,2020-12-19,0.06101184793001259
CA,2020-12-23,0.06263870168163127
CA,2020-12-26,0.06913056977898882
CA,2020-12-30,0.06698933295111835
CA,2021-01-16,0.06407871597180012
CA,2021-01-20,0.055756630139090435
CA,2021-01-23,0.047962402051447
CA,2021-01-27,0.05340402265150005
CA,2021-01-30,0.04667121422881668
CA,2021-02-03,0.048869393905406525
CA,2021-02-06,0.046271879545375795
CA,2021-02-10,0.05272177787820285
CA,2021-02-13,0.05053408499503219
CA,2021-02-17,0.0613838014764974
CA,2021-02-20,0.06016984922180063
CA,2021-02-24,0.06487626060484661
CO,2020-01-15,0.17019421985834113
CO,2020-01-18,0.1752911163856937
CO,2020-01-22,0.16111074550980664
CO,2020-01-25,0.16445812352173456
CO,2020-01-29,0.15426275289621114
CO,2020-02-01,0.16187701736263355
CO,2020-02-05,0.15502549969907187
CO,2020-02-08,0.16174711409644435
CO,2020-02-12,0.15931430067152863
CO,2020-02-15,0.17998432407903964
CO,2020-02-19,0.1685119670319446
CO,2020-02-22,0.17190366389567902
CO,2020-02-26,0.16266597797585394
CO,2020-02-29,0.16970245975890183
CO,2020-03-04,0.15342181172490754
CO,2020-03-07,0.17638769960385045
CO,2020-03-11,0.1646647099870561
CO,2020-03-14,0.17104390686651455
CO,2020-03-18,0.13775732672607047
CO,2020-03-21,0.1312404733307121
CO,2020-03-25,0.11736693840850378
CO,2020-03-28,0.10816977262996598
CO,2020-04-01,0.08821792042225167
CO,2020-04-04,0.08031490208106777
CO,2020-04-08,0.06578066018542283
CO,2020-04-11,0.06275620574274375
CO,2020-04-15,0.05509296356942944
CO,2020-04-18,0.0554323314534972
CO,2020-04-22,0.05502707043852726
CO,2020-04-25,0.0588097955795372
CO,2020-04-29,0.06038951744939031
CO,2020-05-02,0.06825508650384227
CO,2020-05-06,0.06956446795745118
CO,2020-05-09,0.07704442952935937
CO,2020-05-13,0.07876322480111539
CO,2020-05-16,0.087003315354545
CO,2020-05-20,0.08574383873188654
CO,2020-05-23,0.10267150446271375
CO,2020-05-27,0.10417553438327098
CO,2020-05-30,0.11051802974327452
CO,2020-06-03,0.1141771268519479
CO,2020-06-06,0.12119817518586357
CO,2020-06-10,0.11992530451321971
CO,2020-06-13,0.13145004535441235
CO,2020-06-17,0.13229134180868693
CO,2020-06-20,0.14685714285714285
CO,2020-06-24,0.14934477948791627
CO,2020-06-27,0.16592281588057425
CO,2020-07-01,0.1637508202222615
CO,2020-07-04,0.17937340174919283
CO,2020-07-08,0.17924785315768862
CO,2020-07-11,0.19512528872784596
CO,2020-07-15,0.17717336189559202
CO,2020-07-18,0.19100644808567432
CO,2020-07-22,0.1692371809358335
CO,2020-07-25,0.1827328579176144
CO,2020-07-29,0.1658266305043709
CO,2020-08-01,0.1844727159169597
CO,2020-08-05,0.16766671573678787
CO,2020-08-08,0.1812077276740684
CO,2020-08-12,0.1627618795346529
CO,2020-08-15,0.177239200361083
CO,2020-08-19,0.15955421506342382
CO,2020-08-22,0.16914316766194154
CO,2020-08-26,0.14886723231508214
CO,2020-08-29,0.15576864225237172
CO,2020-09-02,0.13208919429823598
CO,2020-09-05,0.15822593490405354
CO,2020-09-09,0.14183744027187345
CO,2020-09-12,0.1522111028072306
CO,2020-09-16,0.14204049965086507
CO,2020-09-19,0.1569144141437208
CO,2020-09-23,0.1286597575053971
CO,2020-09-26,0.1426658774897845
CO,2020-09-30,0.12878145320893414
CO,2020-10-03,0.13919352898168458
CO,2020-10-07,0.12605825967301817
